name,a,elements,crystal_system,point_group,formula,plane,num_elements
SrPuO4 (0001),3.9382590978888774,"O, Pu, Sr",Trigonal,-3m,SrPuO4,(0001),3
SrRh2 (111),10.895087920164077,"Rh, Sr",Cubic,m-3m,SrRh2,(111),2
SrRhF6 (0001),7.20796824700092,"F, Rh, Sr",Trigonal,-3m,SrRhF6,(0001),3
SrS (111),8.553210969316412,"S, Sr",Cubic,m-3m,SrS,(111),2
SrSbPt (0001),4.5071737147191175,"Pt, Sb, Sr",Hexagonal,-6m2,SrSbPt,(0001),3
SrSe (111),8.88044340045062,"Se, Sr",Cubic,m-3m,SrSe,(111),2
SrSi2 (111),9.253786124098461,"Si, Sr",Cubic,432,SrSi2,(111),2
SrSiPd (111),9.236476249089964,"Pd, Si, Sr",Cubic,23,SrSiPd,(111),3
SrSiPt (111),9.210496085289,"Pt, Si, Sr",Cubic,23,SrSiPt,(111),3
SrSnHg (0001),4.943759026644145,"Hg, Sn, Sr",Hexagonal,6mm,SrSnHg,(0001),3
SrTa4O11 (0001),6.270848526402292,"O, Sr, Ta",Hexagonal,622,SrTa4O11,(0001),3
SrTe (111),9.491735618171885,"Sr, Te",Cubic,m-3m,SrTe,(111),2
SrTl (111),5.745741800386081,"Sr, Tl",Cubic,m-3m,SrTl,(111),2
SrTl2 (0001),5.119625373847593,"Sr, Tl",Hexagonal,6/mmm,SrTl2,(0001),2
SrTlHg2 (111),10.802808151806937,"Hg, Sr, Tl",Cubic,m-3m,SrTlHg2,(111),3
SrUO4 (0001),3.916659890683856,"O, Sr, U",Trigonal,-3m,SrUO4,(0001),3
SrZnGe (0001),4.289207258922261,"Ge, Sr, Zn",Hexagonal,-6m2,SrZnGe,(0001),3
SrZnSi (0001),4.280054122185211,"Si, Sr, Zn",Hexagonal,6/mmm,SrZnSi,(0001),3
SrZnSn (0001),4.60772754,"Sn, Sr, Zn",Hexagonal,6/mmm,SrZnSn,(0001),3
Ta2(Co7B2)3 (111),14.84556544965533,"B, Co, Ta",Cubic,m-3m,Ta2(Co7B2)3,(111),3
Ta2(Ni7B2)3 (111),14.74104469346457,"B, Ni, Ta",Cubic,m-3m,Ta2(Ni7B2)3,(111),3
Ta2Be17 (0001),7.354865935994288,"Be, Ta",Trigonal,-3m,Ta2Be17,(0001),2
