name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
BaNbO3 (110),4.13357283,5.845754757242937,"Ba, Nb, O",Cubic,m-3m,BaNbO3,(110),3
BaNbO3 (111),5.845754757242937,10.125144248132235,"Ba, Nb, O",Cubic,m-3m,BaNbO3,(111),3
BaNd2O4 (001),3.61864619,10.66522781,"Ba, Nd, O",Orthorhombic,mmm,BaNd2O4,(001),3
BaNd2O4 (010),3.61864619,12.52631118,"Ba, Nd, O",Orthorhombic,mmm,BaNd2O4,(010),3
BaNd2O4 (100),10.66522781,12.52631118,"Ba, Nd, O",Orthorhombic,mmm,BaNd2O4,(100),3
BaNd2O4 (101),10.66522781,13.038522616715229,"Ba, Nd, O",Orthorhombic,mmm,BaNd2O4,(101),3
BaNd2O4 (110),11.262401364167363,12.52631118,"Ba, Nd, O",Orthorhombic,mmm,BaNd2O4,(110),3
BaNi9As5 (0001),6.6991733181723045,11.603308555784215,"As, Ba, Ni",Hexagonal,6/mmm,BaNi9As5,(0001),3
BaNi9As5 (1-100),6.6991733181723045,11.22472921000189,"As, Ba, Ni",Hexagonal,6/mmm,BaNi9As5,(1-100),3
BaNi9As5 (11-20),11.22472921000189,11.603308555784215,"As, Ba, Ni",Hexagonal,6/mmm,BaNi9As5,(11-20),3
BaNi9P5 (0001),6.467486010649882,11.202014367686544,"Ba, Ni, P",Hexagonal,6/mmm,BaNi9P5,(0001),3
BaNi9P5 (1-100),6.467486010649882,10.819230760001462,"Ba, Ni, P",Hexagonal,6/mmm,BaNi9P5,(1-100),3
BaNi9P5 (1-102),6.467486010649882,15.573724029018159,"Ba, Ni, P",Hexagonal,6/mmm,BaNi9P5,(1-102),3
BaNi9P5 (11-20),10.819230760001462,11.202014367686544,"Ba, Ni, P",Hexagonal,6/mmm,BaNi9P5,(11-20),3
BaNiF4 (001),4.176918999624691,14.397028743121064,"Ba, F, Ni",Orthorhombic,mm2,BaNiF4,(001),3
BaNiF4 (010),4.176918999624691,5.810803207134058,"Ba, F, Ni",Orthorhombic,mm2,BaNiF4,(010),3
BaNiF4 (100),5.810803207134058,14.397028743121064,"Ba, F, Ni",Orthorhombic,mm2,BaNiF4,(100),3
BaNiF4 (011),4.176918999624691,15.525458786853726,"Ba, F, Ni",Orthorhombic,mm2,BaNiF4,(011),3
BaNiF4 (101),7.156262029961256,14.397028743121064,"Ba, F, Ni",Orthorhombic,mm2,BaNiF4,(101),3
BaNiF4 (110),5.810803207134058,14.990700082373731,"Ba, F, Ni",Orthorhombic,mm2,BaNiF4,(110),3
BaNiF6 (0001),7.315122782312094,12.670164322569153,"Ba, F, Ni",Trigonal,-3m,BaNiF6,(0001),3
BaNiF6 (1-100),6.975401926251443,7.315122782312094,"Ba, F, Ni",Trigonal,-3m,BaNiF6,(1-100),3
BaNiF6 (11-20),6.975401926251443,12.670164322569153,"Ba, F, Ni",Trigonal,-3m,BaNiF6,(11-20),3
BaNiN (001),5.43910182,9.71499235,"Ba, N, Ni",Orthorhombic,mmm,BaNiN,(001),3
BaNiN (010),5.43910182,13.69321851,"Ba, N, Ni",Orthorhombic,mmm,BaNiN,(010),3
BaNiN (100),9.71499235,13.69321851,"Ba, N, Ni",Orthorhombic,mmm,BaNiN,(100),3
BaNiN (101),9.71499235,14.733908570740281,"Ba, N, Ni",Orthorhombic,mmm,BaNiN,(101),3
BaNiN (110),11.133952800730109,13.69321851,"Ba, N, Ni",Orthorhombic,mmm,BaNiN,(110),3
BaNiO3 (0001),5.676584350981493,9.832132509350345,"Ba, Ni, O",Hexagonal,6/mmm,BaNiO3,(0001),3
BaNiO3 (1-100),4.78201573,5.676584350981493,"Ba, Ni, O",Hexagonal,6/mmm,BaNiO3,(1-100),3
BaNiO3 (1-102),5.676584350981493,10.933366550307886,"Ba, Ni, O",Hexagonal,6/mmm,BaNiO3,(1-102),3
BaNiO3 (11-20),4.78201573,9.832132509350345,"Ba, Ni, O",Hexagonal,6/mmm,BaNiO3,(11-20),3
BaNiSn3 (001),4.83797816,4.83797816,"Ba, Ni, Sn",Tetragonal,4mm,BaNiSn3,(001),3
BaNiSn3 (100),4.83797816,11.01106606,"Ba, Ni, Sn",Tetragonal,4mm,BaNiSn3,(100),3
BaNiSn3 (101),4.83797816,12.027036561610714,"Ba, Ni, Sn",Tetragonal,4mm,BaNiSn3,(101),3
BaNiSn3 (110),6.841934328336832,11.01106606,"Ba, Ni, Sn",Tetragonal,4mm,BaNiSn3,(110),3
BaNpO3 (100),4.407701353333334,4.407701353333334,"Ba, Np, O",Cubic,m-3m,BaNpO3,(100),3
BaNpO3 (110),4.407701353333334,6.233431032774246,"Ba, Np, O",Cubic,m-3m,BaNpO3,(110),3
BaNpO3 (111),6.233431032774246,10.796619254241532,"Ba, Np, O",Cubic,m-3m,BaNpO3,(111),3
BaNpO4 (001),5.782279,8.116990699999999,"Ba, Np, O",Orthorhombic,mmm,BaNpO4,(001),3
BaNpO4 (010),5.782279,8.192002279999999,"Ba, Np, O",Orthorhombic,mmm,BaNpO4,(010),3
BaNpO4 (100),8.116990699999999,8.192002279999999,"Ba, Np, O",Orthorhombic,mmm,BaNpO4,(100),3
BaNpO4 (011),5.782279,11.532321508673423,"Ba, Np, O",Orthorhombic,mmm,BaNpO4,(011),3
BaNpO4 (101),8.116990699999999,10.027145744895014,"Ba, Np, O",Orthorhombic,mmm,BaNpO4,(101),3
BaNpO4 (110),8.192002279999999,9.965956474805992,"Ba, Np, O",Orthorhombic,mmm,BaNpO4,(110),3
BaO (100),5.580783419036325,5.580783419036325,"Ba, O",Cubic,m-3m,BaO,(100),2
BaO (110),5.580783419036325,7.892419599868063,"Ba, O",Cubic,m-3m,BaO,(110),2
BaO (111),7.892419599868063,13.670071741623913,"Ba, O",Cubic,m-3m,BaO,(111),2
BaO10 (001),6.05843914,6.05843914,"Ba, O",Tetragonal,4/mmm,BaO10,(001),2
BaO10 (100),6.05843914,9.49285662,"Ba, O",Tetragonal,4/mmm,BaO10,(100),2
BaO10 (101),6.05843914,11.261394745810207,"Ba, O",Tetragonal,4/mmm,BaO10,(101),2
BaO10 (110),8.567926798599991,9.49285662,"Ba, O",Tetragonal,4/mmm,BaO10,(110),2
BaO2 (001),3.8380148229466498,3.8380148229466498,"Ba, O",Tetragonal,4/mmm,BaO2,(001),2
BaO2 (100),3.8380148229466498,6.898199266733667,"Ba, O",Tetragonal,4/mmm,BaO2,(100),2
BaO2 (101),3.8380148229466498,7.894017412238404,"Ba, O",Tetragonal,4/mmm,BaO2,(101),2
BaO2 (110),5.4277726152001255,6.898199266733667,"Ba, O",Tetragonal,4/mmm,BaO2,(110),2
BaP2 (001),6.443280155428076,12.30666191,"Ba, P",Monoclinic,2/m,BaP2,(001),2
BaP2 (100),7.764402223475283,12.30666191,"Ba, P",Monoclinic,2/m,BaP2,(100),2
BaP3 (001),7.733858711742922,11.800054921691018,"Ba, P",Monoclinic,2/m,BaP3,(001),2
BaP3 (100),4.787662869138693,7.733858711742922,"Ba, P",Monoclinic,2/m,BaP3,(100),2
BaP3Pt2 (001),5.80020833,8.370830180013611,"Ba, P, Pt",Monoclinic,2/m,BaP3Pt2,(001),3
BaP3Pt2 (100),5.80020833,11.743089850530307,"Ba, P, Pt",Monoclinic,2/m,BaP3Pt2,(100),3
BaP4O11 (001),9.1905380607209,12.84330675,"Ba, O, P",Monoclinic,2/m,BaP4O11,(001),3
BaP4O11 (100),12.84330675,12.919388463588461,"Ba, O, P",Monoclinic,2/m,BaP4O11,(100),3
BaPAu (0001),4.4279877450434455,7.669499749707591,"Au, Ba, P",Hexagonal,6/mmm,BaPAu,(0001),3
BaPAu (1-100),4.4279877450434455,9.20051251,"Au, Ba, P",Hexagonal,6/mmm,BaPAu,(1-100),3
BaPAu (1-102),4.4279877450434455,11.977923728987061,"Au, Ba, P",Hexagonal,6/mmm,BaPAu,(1-102),3
BaPAu (11-20),7.669499749707591,9.20051251,"Au, Ba, P",Hexagonal,6/mmm,BaPAu,(11-20),3
BaPIr (100),6.522289269999999,6.522289269999999,"Ba, Ir, P",Cubic,23,BaPIr,(100),3
BaPIr (110),6.522289269999999,9.223909943354514,"Ba, Ir, P",Cubic,23,BaPIr,(110),3
BaPIr (111),9.223909943354514,15.976280666329782,"Ba, Ir, P",Cubic,23,BaPIr,(111),3
BaPPd (001),6.321162259101825,7.80591729,"Ba, P, Pd",Monoclinic,2/m,BaPPd,(001),3
BaPPd (100),7.80591729,7.892633221559835,"Ba, P, Pd",Monoclinic,2/m,BaPPd,(100),3
BaPPt (100),6.587167569999999,6.587167569999999,"Ba, P, Pt",Cubic,23,BaPPt,(100),3
BaPPt (110),6.587167569999999,9.315661715118223,"Ba, P, Pt",Cubic,23,BaPPt,(110),3
BaPS3 (001),6.8054289066584985,7.83000695,"Ba, P, S",Monoclinic,2/m,BaPS3,(001),3
BaPS3 (100),7.83000695,11.996806620606963,"Ba, P, S",Monoclinic,2/m,BaPS3,(100),3
BaPSe3 (001),7.1099389637402926,8.00824586,"Ba, P, Se",Monoclinic,2/m,BaPSe3,(001),3
BaPSe3 (100),8.00824586,12.537014157704863,"Ba, P, Se",Monoclinic,2/m,BaPSe3,(100),3
BaPaO3 (100),4.493835383333334,4.493835383333334,"Ba, O, Pa",Cubic,m-3m,BaPaO3,(100),3
BaPaO3 (110),4.493835383333334,6.355242946182098,"Ba, O, Pa",Cubic,m-3m,BaPaO3,(110),3
BaPaO3 (111),6.355242946182098,11.007603677231112,"Ba, O, Pa",Cubic,m-3m,BaPaO3,(111),3
BaPb (001),5.387967190164858,12.788218009637976,"Ba, Pb",Orthorhombic,mmm,BaPb,(001),2
BaPb (010),4.89468292,5.387967190164858,"Ba, Pb",Orthorhombic,mmm,BaPb,(010),2
BaPb (100),4.89468292,12.788218009637976,"Ba, Pb",Orthorhombic,mmm,BaPb,(100),2
BaPb (011),5.387967190164858,13.69293397155514,"Ba, Pb",Orthorhombic,mmm,BaPb,(011),2
BaPb (101),7.279293326253086,12.788218009637976,"Ba, Pb",Orthorhombic,mmm,BaPb,(101),2
BaPb (110),4.89468292,13.876912852083567,"Ba, Pb",Orthorhombic,mmm,BaPb,(110),2
BaPb3 (0001),7.4215526454995375,12.854506253052412,"Ba, Pb",Trigonal,-3m,BaPb3,(0001),2
BaPb3O4 (0001),7.885980797360528,13.65891940854096,"Ba, O, Pb",Hexagonal,-6m2,BaPb3O4,(0001),3
BaPb3O4 (1-100),6.25971655,7.885980797360528,"Ba, O, Pb",Hexagonal,-6m2,BaPb3O4,(1-100),3
BaPb3O4 (1-102),7.885980797360528,15.024983550585366,"Ba, O, Pb",Hexagonal,-6m2,BaPb3O4,(1-102),3
BaPb3O4 (11-20),6.25971655,13.65891940854096,"Ba, O, Pb",Hexagonal,-6m2,BaPb3O4,(11-20),3
BaPbF6 (0001),7.613544879184851,13.18704655645401,"Ba, F, Pb",Trigonal,-3m,BaPbF6,(0001),3
BaPbF6 (1-100),7.597488426177467,7.613544879184851,"Ba, F, Pb",Trigonal,-3m,BaPbF6,(1-100),3
BaPbF6 (11-20),7.597488426177467,13.18704655645401,"Ba, F, Pb",Trigonal,-3m,BaPbF6,(11-20),3
BaPbO3 (001),6.06030286,6.1390902,"Ba, O, Pb",Orthorhombic,mmm,BaPbO3,(001),3
BaPbO3 (010),6.06030286,8.56125834,"Ba, O, Pb",Orthorhombic,mmm,BaPbO3,(010),3
BaPbO3 (100),6.1390902,8.56125834,"Ba, O, Pb",Orthorhombic,mmm,BaPbO3,(100),3
BaPbO3 (011),6.06030286,10.534874125871443,"Ba, O, Pb",Orthorhombic,mmm,BaPbO3,(011),3
BaPbO3 (101),6.1390902,10.489157026145797,"Ba, O, Pb",Orthorhombic,mmm,BaPbO3,(101),3
BaPbO3 (110),8.56125834,8.626453456586908,"Ba, O, Pb",Orthorhombic,mmm,BaPbO3,(110),3
BaPd (0001),5.156114302293467,8.930651941204838,"Ba, Pd",Hexagonal,6/mmm,BaPd,(0001),2
BaPd (1-100),5.156114302293467,5.508343553998239,"Ba, Pd",Hexagonal,6/mmm,BaPd,(1-100),2
BaPd (1-102),5.156114302293467,10.492778126112249,"Ba, Pd",Hexagonal,6/mmm,BaPd,(1-102),2
BaPd (11-20),5.508343553998239,8.930651941204838,"Ba, Pd",Hexagonal,6/mmm,BaPd,(11-20),2
BaPd2 (100),8.062900115886691,8.062900115886691,"Ba, Pd",Cubic,m-3m,BaPd2,(100),2
BaPd2 (110),8.062900115886691,11.40266269594656,"Ba, Pd",Cubic,m-3m,BaPd2,(110),2
BaPd5 (0001),5.586982171811451,9.676936982558944,"Ba, Pd",Hexagonal,6/mmm,BaPd5,(0001),2
BaPd5 (1-100),4.32517331,5.586982171811451,"Ba, Pd",Hexagonal,6/mmm,BaPd5,(1-100),2
BaPd5 (1-102),5.586982171811451,10.599539307250733,"Ba, Pd",Hexagonal,6/mmm,BaPd5,(1-102),2
BaPd5 (11-20),4.32517331,9.676936982558944,"Ba, Pd",Hexagonal,6/mmm,BaPd5,(11-20),2
BaPdF4 (001),6.203297288520382,6.203297288520382,"Ba, F, Pd",Tetragonal,4/mmm,BaPdF4,(001),3
BaPdF4 (100),6.203297288520382,10.889536320173876,"Ba, F, Pd",Tetragonal,4/mmm,BaPdF4,(100),3
BaPdF4 (101),6.203297288520382,12.532473758925263,"Ba, F, Pd",Tetragonal,4/mmm,BaPdF4,(101),3
BaPdF4 (110),8.77278715685777,10.889536320173876,"Ba, F, Pd",Tetragonal,4/mmm,BaPdF4,(110),3
BaPdS2 (001),6.8341915642829205,10.79544608094229,"Ba, Pd, S",Orthorhombic,mmm,BaPdS2,(001),3
BaPdS2 (010),5.65901306,6.8341915642829205,"Ba, Pd, S",Orthorhombic,mmm,BaPdS2,(010),3
BaPdS2 (100),5.65901306,10.79544608094229,"Ba, Pd, S",Orthorhombic,mmm,BaPdS2,(100),3
BaPdS2 (011),6.8341915642829205,12.188768801637957,"Ba, Pd, S",Orthorhombic,mmm,BaPdS2,(011),3
BaPdS2 (101),8.87302671868886,10.79544608094229,"Ba, Pd, S",Orthorhombic,mmm,BaPdS2,(101),3
BaPdS2 (110),5.65901306,12.776847436822907,"Ba, Pd, S",Orthorhombic,mmm,BaPdS2,(110),3
BaPr2O4 (001),3.65483884,10.69223598,"Ba, O, Pr",Orthorhombic,mmm,BaPr2O4,(001),3
BaPr2O4 (010),3.65483884,12.61643535,"Ba, O, Pr",Orthorhombic,mmm,BaPr2O4,(010),3
BaPr2O4 (100),10.69223598,12.61643535,"Ba, O, Pr",Orthorhombic,mmm,BaPr2O4,(100),3
BaPr2O4 (101),10.69223598,13.135154657905714,"Ba, O, Pr",Orthorhombic,mmm,BaPr2O4,(101),3
BaPr2O4 (110),11.299635268378315,12.61643535,"Ba, O, Pr",Orthorhombic,mmm,BaPr2O4,(110),3
BaPt (0001),5.1451323937401465,8.91163071762641,"Ba, Pt",Hexagonal,6/mmm,BaPt,(0001),2
BaPt (1-100),5.1451323937401465,5.42432999,"Ba, Pt",Hexagonal,6/mmm,BaPt,(1-100),2
BaPt (1-102),5.1451323937401465,10.432665905115337,"Ba, Pt",Hexagonal,6/mmm,BaPt,(1-102),2
BaPt (11-20),5.42432999,8.91163071762641,"Ba, Pt",Hexagonal,6/mmm,BaPt,(11-20),2
BaPt2 (100),8.029791180690497,8.029791180690497,"Ba, Pt",Cubic,m-3m,BaPt2,(100),2
BaPt2 (110),8.029791180690497,11.35583959075637,"Ba, Pt",Cubic,m-3m,BaPt2,(110),2
BaPt2S3 (001),11.14566158,11.14566158,"Ba, Pt, S",Tetragonal,422,BaPt2S3,(001),3
BaPt2S3 (100),11.14566158,13.2509114,"Ba, Pt, S",Tetragonal,422,BaPt2S3,(100),3
BaPt2S3 (110),13.2509114,15.762345768056742,"Ba, Pt, S",Tetragonal,422,BaPt2S3,(110),3
BaPt5 (0001),5.591984552111309,9.685601359397078,"Ba, Pt",Hexagonal,6/mmm,BaPt5,(0001),2
BaPt5 (1-100),4.31913748,5.591984552111309,"Ba, Pt",Hexagonal,6/mmm,BaPt5,(1-100),2
BaPt5 (1-102),5.591984552111309,10.604990441499478,"Ba, Pt",Hexagonal,6/mmm,BaPt5,(1-102),2
BaPt5 (11-20),4.31913748,9.685601359397078,"Ba, Pt",Hexagonal,6/mmm,BaPt5,(11-20),2
BaPuO3 (001),6.21830855,6.22055537,"Ba, O, Pu",Orthorhombic,mmm,BaPuO3,(001),3
BaPuO3 (010),6.21830855,8.74807929,"Ba, O, Pu",Orthorhombic,mmm,BaPuO3,(010),3
BaPuO3 (100),6.22055537,8.74807929,"Ba, O, Pu",Orthorhombic,mmm,BaPuO3,(100),3
BaPuO3 (011),6.21830855,10.734253601222711,"Ba, O, Pu",Orthorhombic,mmm,BaPuO3,(011),3
BaPuO3 (101),6.22055537,10.732951713630785,"Ba, O, Pu",Orthorhombic,mmm,BaPuO3,(101),3
BaPuO3 (110),8.74807929,8.795605171575117,"Ba, O, Pu",Orthorhombic,mmm,BaPuO3,(110),3
BaReH9 (0001),5.225242204489672,9.050384980029317,"Ba, H, Re",Hexagonal,6/mmm,BaReH9,(0001),3
BaReH9 (1-100),5.225242204489672,9.690468330008164,"Ba, H, Re",Hexagonal,6/mmm,BaReH9,(1-100),3
BaReH9 (1-102),5.225242204489672,13.259511482012883,"Ba, H, Re",Hexagonal,6/mmm,BaReH9,(1-102),3
BaReH9 (11-20),9.050384980029317,9.690468330008164,"Ba, H, Re",Hexagonal,6/mmm,BaReH9,(11-20),3
BaReN3 (001),11.18057062653009,11.41650186,"Ba, N, Re",Monoclinic,2/m,BaReN3,(001),3
BaReN3 (100),6.143923284700715,11.41650186,"Ba, N, Re",Monoclinic,2/m,BaReN3,(100),3
BaRh2 (100),7.914810549985455,7.914810549985455,"Ba, Rh",Cubic,m-3m,BaRh2,(100),2
BaRh2 (110),7.914810549985455,11.193232423403087,"Ba, Rh",Cubic,m-3m,BaRh2,(110),2
BaRhF6 (0001),7.467657218924824,12.934361716686297,"Ba, F, Rh",Trigonal,-3m,BaRhF6,(0001),3
BaRhF6 (1-100),7.202738896259099,7.467657218924824,"Ba, F, Rh",Trigonal,-3m,BaRhF6,(1-100),3
BaRhF6 (11-20),7.202738896259099,12.934361716686297,"Ba, F, Rh",Trigonal,-3m,BaRhF6,(11-20),3
BaRuO3 (0001),5.781550622926529,10.01393942544024,"Ba, O, Ru",Hexagonal,6/mmm,BaRuO3,(0001),3
BaRuO3 (1-100),5.781550622926529,9.632656140000085,"Ba, O, Ru",Hexagonal,6/mmm,BaRuO3,(1-100),3
BaRuO3 (1-102),5.781550622926529,13.894856858847728,"Ba, O, Ru",Hexagonal,6/mmm,BaRuO3,(1-102),3
BaRuO3 (11-20),9.632656140000085,10.01393942544024,"Ba, O, Ru",Hexagonal,6/mmm,BaRuO3,(11-20),3
BaS (100),6.451351236011469,6.451351236011469,"Ba, S",Cubic,m-3m,BaS,(100),2
BaS (110),6.451351236011469,9.12358841359985,"Ba, S",Cubic,m-3m,BaS,(110),2
BaS (111),9.12358841359985,15.80251867970167,"Ba, S",Cubic,m-3m,BaS,(111),2
BaS2 (001),4.807359339516213,9.371353684027172,"Ba, S",Monoclinic,2/m,BaS2,(001),2
BaS2 (100),4.807359339516213,9.104318946262469,"Ba, S",Monoclinic,2/m,BaS2,(100),2
BaS3 (001),6.95195505,6.95195505,"Ba, S",Tetragonal,-42m,BaS3,(001),2
BaS3 (100),4.21601149,6.95195505,"Ba, S",Tetragonal,-42m,BaS3,(100),2
BaS3 (101),6.95195505,8.130463203350256,"Ba, S",Tetragonal,-42m,BaS3,(101),2
BaS3 (110),4.21601149,9.831549116718127,"Ba, S",Tetragonal,-42m,BaS3,(110),2
BaS4O13 (001),9.285378368288704,11.83406434,"Ba, O, S",Monoclinic,2/m,BaS4O13,(001),3
BaS4O13 (100),9.570655270399447,11.83406434,"Ba, O, S",Monoclinic,2/m,BaS4O13,(100),3
BaSO4 (001),5.46903188,7.18825422,"Ba, O, S",Orthorhombic,mmm,BaSO4,(001),3
BaSO4 (010),5.46903188,8.91393949,"Ba, O, S",Orthorhombic,mmm,BaSO4,(010),3
BaSO4 (100),7.18825422,8.91393949,"Ba, O, S",Orthorhombic,mmm,BaSO4,(100),3
BaSO4 (011),5.46903188,11.451170942865593,"Ba, O, S",Orthorhombic,mmm,BaSO4,(011),3
BaSO4 (101),7.18825422,10.457945636492752,"Ba, O, S",Orthorhombic,mmm,BaSO4,(101),3
BaSO4 (110),8.91393949,9.032237177787358,"Ba, O, S",Orthorhombic,mmm,BaSO4,(110),3
BaSb2 (001),4.43889715,5.227050322507394,"Ba, Sb",Monoclinic,2/m,BaSb2,(001),2
BaSb2 (100),4.43889715,9.642155766632113,"Ba, Sb",Monoclinic,2/m,BaSb2,(100),2
BaSb3 (001),8.66883443176342,10.951649028128413,"Ba, Sb",Monoclinic,2/m,BaSb3,(001),2
BaSb3 (100),6.5767805510100965,8.66883443176342,"Ba, Sb",Monoclinic,2/m,BaSb3,(100),2
BaSbAu (0001),4.803660514684498,8.320184073746013,"Au, Ba, Sb",Hexagonal,6/mmm,BaSbAu,(0001),3
BaSbAu (1-100),4.803660514684498,9.47545318,"Au, Ba, Sb",Hexagonal,6/mmm,BaSbAu,(1-100),3
BaSbAu (1-102),4.803660514684498,12.609903884938575,"Au, Ba, Sb",Hexagonal,6/mmm,BaSbAu,(1-102),3
BaSbAu (11-20),8.320184073746013,9.47545318,"Au, Ba, Sb",Hexagonal,6/mmm,BaSbAu,(11-20),3
BaSbF5 (001),4.71608785,9.32623265,"Ba, F, Sb",Orthorhombic,mmm,BaSbF5,(001),3
BaSbF5 (010),4.71608785,11.16453858,"Ba, F, Sb",Orthorhombic,mmm,BaSbF5,(010),3
BaSbF5 (100),9.32623265,11.16453858,"Ba, F, Sb",Orthorhombic,mmm,BaSbF5,(100),3
BaSbF5 (011),4.71608785,14.54735498797752,"Ba, F, Sb",Orthorhombic,mmm,BaSbF5,(011),3
BaSbF5 (101),9.32623265,12.11975273317183,"Ba, F, Sb",Orthorhombic,mmm,BaSbF5,(101),3
BaSbF5 (110),10.450842073768202,11.16453858,"Ba, F, Sb",Orthorhombic,mmm,BaSbF5,(110),3
BaSbPt (0001),4.567997617066739,7.912003961613152,"Ba, Pt, Sb",Hexagonal,-6m2,BaSbPt,(0001),3
BaSbPt (1-100),4.567997617066739,4.98640666,"Ba, Pt, Sb",Hexagonal,-6m2,BaSbPt,(1-100),3
BaSbPt (1-102),4.567997617066739,9.352222092501577,"Ba, Pt, Sb",Hexagonal,-6m2,BaSbPt,(1-102),3
BaSbPt (11-20),4.98640666,7.912003961613152,"Ba, Pt, Sb",Hexagonal,-6m2,BaSbPt,(11-20),3
BaSc2O4 (001),5.82961392,9.880609633833041,"Ba, O, Sc",Monoclinic,2/m,BaSc2O4,(001),3
BaSe (100),6.667243772705636,6.667243772705636,"Ba, Se",Cubic,m-3m,BaSe,(100),2
BaSe (110),6.667243772705636,9.428906567007873,"Ba, Se",Cubic,m-3m,BaSe,(110),2
BaSe2 (001),4.987827358210006,9.80655427341753,"Ba, Se",Monoclinic,2/m,BaSe2,(001),2
BaSe2 (100),4.987827358210006,9.432937877159784,"Ba, Se",Monoclinic,2/m,BaSe2,(100),2
BaSe2O5 (001),4.580249730344431,11.75860894,"Ba, O, Se",Monoclinic,2/m,BaSe2O5,(001),3
BaSe2O5 (100),9.800534849718618,11.75860894,"Ba, O, Se",Monoclinic,2/m,BaSe2O5,(100),3
BaSe3 (001),7.38597746,7.38597746,"Ba, Se",Tetragonal,-42m,BaSe3,(001),2
BaSe3 (100),4.29675126,7.38597746,"Ba, Se",Tetragonal,-42m,BaSe3,(100),2
BaSe3 (101),7.38597746,8.544865969103299,"Ba, Se",Tetragonal,-42m,BaSe3,(101),2
BaSe3 (110),4.29675126,10.445349495313986,"Ba, Se",Tetragonal,-42m,BaSe3,(110),2
BaSeO3 (001),4.727316926583803,5.68404761,"Ba, O, Se",Monoclinic,2/m,BaSeO3,(001),3
BaSeO3 (100),5.68404761,6.881633588802252,"Ba, O, Se",Monoclinic,2/m,BaSeO3,(100),3
BaSeO4 (001),5.69226862,7.40285603,"Ba, O, Se",Orthorhombic,mmm,BaSeO4,(001),3
BaSeO4 (010),5.69226862,9.09971333,"Ba, O, Se",Orthorhombic,mmm,BaSeO4,(010),3
BaSeO4 (100),7.40285603,9.09971333,"Ba, O, Se",Orthorhombic,mmm,BaSeO4,(100),3
BaSeO4 (011),5.69226862,11.730603568831702,"Ba, O, Se",Orthorhombic,mmm,BaSeO4,(011),3
BaSeO4 (101),7.40285603,10.733438625641663,"Ba, O, Se",Orthorhombic,mmm,BaSeO4,(101),3
BaSeO4 (110),9.09971333,9.338318876711378,"Ba, O, Se",Orthorhombic,mmm,BaSeO4,(110),3
BaSi (001),5.0742047285416625,12.125411970413632,"Ba, Si",Orthorhombic,mmm,BaSi,(001),2
BaSi (010),4.1494084,5.0742047285416625,"Ba, Si",Orthorhombic,mmm,BaSi,(010),2
BaSi (100),4.1494084,12.125411970413632,"Ba, Si",Orthorhombic,mmm,BaSi,(100),2
BaSi (011),5.0742047285416625,12.815740537411045,"Ba, Si",Orthorhombic,mmm,BaSi,(011),2
BaSi (101),6.554780217302875,12.125411970413632,"Ba, Si",Orthorhombic,mmm,BaSi,(101),2
BaSi (110),4.1494084,13.144320791863107,"Ba, Si",Orthorhombic,mmm,BaSi,(110),2
BaSi2 (001),6.78726579,9.02691849,"Ba, Si",Orthorhombic,mmm,BaSi2,(001),2
BaSi2 (010),6.78726579,11.64515377,"Ba, Si",Orthorhombic,mmm,BaSi2,(010),2
BaSi2 (100),9.02691849,11.64515377,"Ba, Si",Orthorhombic,mmm,BaSi2,(100),2
BaSi2 (011),6.78726579,14.734139396383119,"Ba, Si",Orthorhombic,mmm,BaSi2,(011),2
BaSi2 (101),9.02691849,13.478745610443486,"Ba, Si",Orthorhombic,mmm,BaSi2,(101),2
BaSi2 (110),11.293902528763395,11.64515377,"Ba, Si",Orthorhombic,mmm,BaSi2,(110),2
BaSi2O5 (001),4.63950283,7.70750957,"Ba, O, Si",Orthorhombic,mmm,BaSi2O5,(001),3
BaSi2O5 (010),4.63950283,13.61777301,"Ba, O, Si",Orthorhombic,mmm,BaSi2O5,(010),3
BaSi2O5 (100),7.70750957,13.61777301,"Ba, O, Si",Orthorhombic,mmm,BaSi2O5,(100),3
BaSi2O5 (011),4.63950283,15.647665817096366,"Ba, O, Si",Orthorhombic,mmm,BaSi2O5,(011),3
BaSi2O5 (101),7.70750957,14.386407760850604,"Ba, O, Si",Orthorhombic,mmm,BaSi2O5,(101),3
BaSi2O5 (110),8.996148636011945,13.61777301,"Ba, O, Si",Orthorhombic,mmm,BaSi2O5,(110),3
BaSi3Pd (001),4.43020383,4.43020383,"Ba, Pd, Si",Tetragonal,4mm,BaSi3Pd,(001),3
BaSi3Pd (100),4.43020383,10.23900872,"Ba, Pd, Si",Tetragonal,4mm,BaSi3Pd,(100),3
BaSi3Pd (101),4.43020383,11.156343735453058,"Ba, Pd, Si",Tetragonal,4mm,BaSi3Pd,(101),3
BaSi3Pd (110),6.26525434046323,10.23900872,"Ba, Pd, Si",Tetragonal,4mm,BaSi3Pd,(110),3
BaSi3Pt (001),4.43557394,4.43557394,"Ba, Pt, Si",Tetragonal,4mm,BaSi3Pt,(001),3
BaSi3Pt (100),4.43557394,10.11083336,"Ba, Pt, Si",Tetragonal,4mm,BaSi3Pt,(100),3
BaSi3Pt (101),4.43557394,11.040981270290066,"Ba, Pt, Si",Tetragonal,4mm,BaSi3Pt,(101),3
BaSi3Pt (110),6.272848822856666,10.11083336,"Ba, Pt, Si",Tetragonal,4mm,BaSi3Pt,(110),3
