name,a,b,elements,crystal_system,point_group,formula,plane,num_elements
KC8 (001),4.955840311874162,8.582073323457573,"C, K",Orthorhombic,mmm,KC8,(001),2
KCO3 (001),4.005711,5.786966,"C, K, O",Monoclinic,2/m,KCO3,(001),3
KCO3 (100),5.786966,15.328731218885698,"C, K, O",Monoclinic,2/m,KCO3,(100),3
KCaBi (001),5.40489026,5.40489026,"Bi, Ca, K",Tetragonal,4/mmm,KCaBi,(001),3
KCaBi (100),5.40489026,8.45874323,"Bi, Ca, K",Tetragonal,4/mmm,KCaBi,(100),3
KCaBi (101),5.40489026,10.038086259527445,"Bi, Ca, K",Tetragonal,4/mmm,KCaBi,(101),3
KCaBi (110),7.643669108830244,8.45874323,"Bi, Ca, K",Tetragonal,4/mmm,KCaBi,(110),3
KCaBr3 (001),4.267215332258245,10.754171370507512,"Br, Ca, K",Orthorhombic,mmm,KCaBr3,(001),3
KCaBr3 (010),4.267215332258245,7.380736496101878,"Br, Ca, K",Orthorhombic,mmm,KCaBr3,(010),3
KCaBr3 (100),7.380736496101878,10.754171370507512,"Br, Ca, K",Orthorhombic,mmm,KCaBr3,(100),3
KCaBr3 (011),4.267215332258245,13.043292264268775,"Br, Ca, K",Orthorhombic,mmm,KCaBr3,(011),3
KCaBr3 (101),8.525514525044812,10.754171370507512,"Br, Ca, K",Orthorhombic,mmm,KCaBr3,(101),3
KCaBr3 (110),7.380736496101878,11.569845658352719,"Br, Ca, K",Orthorhombic,mmm,KCaBr3,(110),3
KCaCl3 (001),7.20898851,7.59169634,"Ca, Cl, K",Orthorhombic,mmm,KCaCl3,(001),3
KCaCl3 (010),7.20898851,10.45793088,"Ca, Cl, K",Orthorhombic,mmm,KCaCl3,(010),3
KCaCl3 (100),7.59169634,10.45793088,"Ca, Cl, K",Orthorhombic,mmm,KCaCl3,(100),3
KCaCl3 (011),7.20898851,12.922932005146006,"Ca, Cl, K",Orthorhombic,mmm,KCaCl3,(011),3
KCaCl3 (101),7.59169634,12.70188307410242,"Ca, Cl, K",Orthorhombic,mmm,KCaCl3,(101),3
KCaCl3 (110),10.45793088,10.469162748571703,"Ca, Cl, K",Orthorhombic,mmm,KCaCl3,(110),3
KCaF3 (001),6.12777352,6.22062595,"Ca, F, K",Orthorhombic,mmm,KCaF3,(001),3
KCaF3 (010),6.12777352,8.71579992,"Ca, F, K",Orthorhombic,mmm,KCaF3,(010),3
KCaF3 (100),6.22062595,8.71579992,"Ca, F, K",Orthorhombic,mmm,KCaF3,(100),3
KCaF3 (011),6.12777352,10.70800427041778,"Ca, F, K",Orthorhombic,mmm,KCaF3,(011),3
KCaF3 (101),6.22062595,10.65433135198475,"Ca, F, K",Orthorhombic,mmm,KCaF3,(101),3
KCaF3 (110),8.71579992,8.731883847270678,"Ca, F, K",Orthorhombic,mmm,KCaF3,(110),3
KCd13 (100),13.865622208039555,13.865622208039555,"Cd, K",Cubic,m-3m,KCd13,(100),2
KCd4As3 (0001),4.4993184345284245,7.793048128034494,"As, Cd, K",Trigonal,-3m,KCd4As3,(0001),3
KCd4P3 (0001),4.368581643718153,7.5666053639326005,"Cd, K, P",Trigonal,-3m,KCd4P3,(0001),3
KCdAs (001),4.5766098,4.5766098,"As, Cd, K",Tetragonal,4/mmm,KCdAs,(001),3
KCdAs (100),4.5766098,7.91696195,"As, Cd, K",Tetragonal,4/mmm,KCdAs,(100),3
KCdAs (101),4.5766098,9.144596425168464,"As, Cd, K",Tetragonal,4/mmm,KCdAs,(101),3
KCdAs (110),6.472303648849619,7.91696195,"As, Cd, K",Tetragonal,4/mmm,KCdAs,(110),3
KCdCl3 (001),4.01365267,8.85064146,"Cd, Cl, K",Orthorhombic,mmm,KCdCl3,(001),3
KCdCl3 (010),4.01365267,14.6107019,"Cd, Cl, K",Orthorhombic,mmm,KCdCl3,(010),3
KCdCl3 (100),8.85064146,14.6107019,"Cd, Cl, K",Orthorhombic,mmm,KCdCl3,(100),3
KCdCl3 (101),8.85064146,15.151964155384666,"Cd, Cl, K",Orthorhombic,mmm,KCdCl3,(101),3
KCdCl3 (110),9.718192322076625,14.6107019,"Cd, Cl, K",Orthorhombic,mmm,KCdCl3,(110),3
KCdF3 (001),6.082090580000083,6.18108562,"Cd, F, K",Orthorhombic,mmm,KCdF3,(001),3
KCdF3 (010),6.082090580000083,8.641368730000057,"Cd, F, K",Orthorhombic,mmm,KCdF3,(010),3
KCdF3 (100),6.18108562,8.641368730000057,"Cd, F, K",Orthorhombic,mmm,KCdF3,(100),3
KCdF3 (011),6.082090580000083,10.624456361131783,"Cd, F, K",Orthorhombic,mmm,KCdF3,(011),3
KCdF3 (101),6.18108562,10.567169883708152,"Cd, F, K",Orthorhombic,mmm,KCdF3,(101),3
KCdF3 (110),8.641368730000057,8.671657584631472,"Cd, F, K",Orthorhombic,mmm,KCdF3,(110),3
KCdSb (001),4.84469709,4.84469709,"Cd, K, Sb",Tetragonal,4/mmm,KCdSb,(001),3
KCdSb (100),4.84469709,8.28153598,"Cd, K, Sb",Tetragonal,4/mmm,KCdSb,(100),3
KCdSb (101),4.84469709,9.59452594357267,"Cd, K, Sb",Tetragonal,4/mmm,KCdSb,(101),3
KCdSb (110),6.851436330267468,8.28153598,"Cd, K, Sb",Tetragonal,4/mmm,KCdSb,(110),3
KCeF4 (001),3.76337457,6.28850512,"Ce, F, K",Orthorhombic,mmm,KCeF4,(001),3
KCeF4 (010),3.76337457,15.59749195,"Ce, F, K",Orthorhombic,mmm,KCeF4,(010),3
KCeF4 (100),6.28850512,15.59749195,"Ce, F, K",Orthorhombic,mmm,KCeF4,(100),3
KCeF4 (110),7.328593643966685,15.59749195,"Ce, F, K",Orthorhombic,mmm,KCeF4,(110),3
KCeS2 (0001),4.2358373682044785,7.3366855343289945,"Ce, K, S",Trigonal,-3m,KCeS2,(0001),3
KCl (100),6.283742600004427,6.283742600004427,"Cl, K",Cubic,m-3m,KCl,(100),2
KCl (110),6.283742600004427,8.886554007387835,"Cl, K",Cubic,m-3m,KCl,(110),2
KCl (111),8.886554007387835,15.39196304500054,"Cl, K",Cubic,m-3m,KCl,(111),2
KClO4 (001),5.61273066,7.19777613,"Cl, K, O",Orthorhombic,mmm,KClO4,(001),3
KClO4 (010),5.61273066,8.75090701,"Cl, K, O",Orthorhombic,mmm,KClO4,(010),3
KClO4 (100),7.19777613,8.75090701,"Cl, K, O",Orthorhombic,mmm,KClO4,(100),3
KClO4 (011),5.61273066,11.330770261339913,"Cl, K, O",Orthorhombic,mmm,KClO4,(011),3
KClO4 (101),7.19777613,10.396206950584006,"Cl, K, O",Orthorhombic,mmm,KClO4,(101),3
KClO4 (110),8.75090701,9.12747099032924,"Cl, K, O",Orthorhombic,mmm,KClO4,(110),3
KCoF4 (001),5.75011506,5.75011506,"Co, F, K",Tetragonal,4/mmm,KCoF4,(001),3
KCoF4 (100),5.75011506,7.58868557,"Co, F, K",Tetragonal,4/mmm,KCoF4,(100),3
KCoF4 (101),5.75011506,9.521132909668104,"Co, F, K",Tetragonal,4/mmm,KCoF4,(101),3
KCoF4 (110),7.58868557,8.131890703057783,"Co, F, K",Tetragonal,4/mmm,KCoF4,(110),3
KCoO2 (001),5.711711487707133,5.711711487707133,"Co, K, O",Tetragonal,-4,KCoO2,(001),3
KCoO2 (100),5.711711487707133,7.663463730941382,"Co, K, O",Tetragonal,-4,KCoO2,(100),3
KCoO2 (101),5.711711487707133,9.557840994401383,"Co, K, O",Tetragonal,-4,KCoO2,(101),3
KCoO2 (110),7.663463730941382,8.077579850277635,"Co, K, O",Tetragonal,-4,KCoO2,(110),3
KCr3O8 (001),5.446580187133506,8.539731769735138,"Cr, K, O",Monoclinic,2/m,KCr3O8,(001),3
KCr3O8 (100),5.446580187133506,7.6244464999385295,"Cr, K, O",Monoclinic,2/m,KCr3O8,(100),3
KCr5S8 (100),3.493538715594455,8.70442601242559,"Cr, K, S",Monoclinic,2/m,KCr5S8,(100),3
KCr5Se8 (100),3.69519,9.111850741848333,"Cr, K, Se",Monoclinic,2/m,KCr5Se8,(100),3
KCr5Te8 (100),4.032816,9.615564867844324,"Cr, K, Te",Monoclinic,2/m,KCr5Te8,(100),3
KCrCl3 (0001),6.993442284764719,12.112997357013066,"Cl, Cr, K",Trigonal,-3m,KCrCl3,(0001),3
KCrF3 (001),7.937216209403257,8.58547046,"Cr, F, K",Monoclinic,2/m,KCrF3,(001),3
KCrF3 (100),5.792624944687483,8.58547046,"Cr, F, K",Monoclinic,2/m,KCrF3,(100),3
