a,b,dimensions,mcia,angle,substrate,R,G,B,color_column
4.433576434437552,4.702517942549501,(√3/3 b × √3/2 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.702517942549501,3.325182325828164,(√3/2 a × √3/4 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.325182325828164,4.702517942549501,(√3/4 b × √3/2 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.1350119616996674,13.300729303312655,(√3/3 a × √3b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
13.300729303312655,3.1350119616996674,(√3b × √3/3 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.1350119616996674,6.650364651656328,(√3/3 a × √3/2 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
6.650364651656328,3.1350119616996674,(√3/2 b × √3/3 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.1350119616996674,4.433576434437552,(√3/3 a × √3/3 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
4.433576434437552,3.1350119616996674,(√3/3 b × √3/3 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.1350119616996674,3.325182325828164,(√3/3 a × √3/4 b),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
3.325182325828164,3.1350119616996674,(√3/4 b × √3/3 a),125.0938363956434,35.3º,Silicon (110),1.0,0.0,0.0,"rgb(255.00, 0.00, 0.00)"
7.679179643685906,13.300729303312655,(a × b),102.13868971217516,0º,Silicon (111),1.0,0.04632357573534044,0.0,"rgb(255.00, 11.81, 0.00)"
13.300729303312655,7.679179643685906,(b × a),102.13868971217516,0º,Silicon (111),1.0,0.04632357573534044,0.0,"rgb(255.00, 11.81, 0.00)"
7.679179643685906,6.650364651656328,(a × b/2),102.13868971217516,0º,Silicon (111),1.0,0.04632357573534044,0.0,"rgb(255.00, 11.81, 0.00)"
6.650364651656328,7.679179643685906,(b/2 × a),102.13868971217516,0º,Silicon (111),1.0,0.04632357573534044,0.0,"rgb(255.00, 11.81, 0.00)"
