name,a,elements,crystal_system,point_group,formula,plane,num_elements
Lu5Sn3 (0001),6.368307550006019,"Lu, Sn",Hexagonal,6/mmm,Lu5Sn3,(0001),2
Lu5Tl3 (0001),6.547407,"Lu, Tl",Hexagonal,6/mmm,Lu5Tl3,(0001),2
Lu6Co30P19 (0001),3.544212,"Co, Lu, P",Hexagonal,-6,Lu6Co30P19,(0001),3
Lu6FeBi2 (0001),4.12000081,"Bi, Fe, Lu",Hexagonal,-6m2,Lu6FeBi2,(0001),3
Lu6FeSb2 (0001),4.08859459,"Fe, Lu, Sb",Hexagonal,-6m2,Lu6FeSb2,(0001),3
Lu6MnBi2 (0001),4.30780562,"Bi, Lu, Mn",Hexagonal,-6m2,Lu6MnBi2,(0001),3
Lu6MnSb2 (0001),4.24745299,"Lu, Mn, Sb",Hexagonal,-6m2,Lu6MnSb2,(0001),3
Lu6Sb2Mo (0001),4.2834911,"Lu, Mo, Sb",Hexagonal,-6m2,Lu6Sb2Mo,(0001),3
Lu8In3Co (0001),6.8495159999999995,"Co, In, Lu",Hexagonal,6mm,Lu8In3Co,(0001),3
Lu8Te (0001),3.69614945,"Lu, Te",Hexagonal,-6m2,Lu8Te,(0001),2
LuAgGe (0001),4.13243374,"Ag, Ge, Lu",Hexagonal,-6m2,LuAgGe,(0001),3
LuAgHg2 (111),9.825660882987696,"Ag, Hg, Lu",Cubic,m-3m,LuAgHg2,(111),3
LuAgSn (0001),7.29994294,"Ag, Lu, Sn",Hexagonal,6mm,LuAgSn,(0001),3
LuAl2 (111),10.906882946626489,"Al, Lu",Cubic,m-3m,LuAl2,(111),2
LuAl3 (111),5.895208999417393,"Al, Lu",Cubic,m-3m,LuAl3,(111),2
LuAl3Ni2 (0001),4.02255068,"Al, Lu, Ni",Hexagonal,6/mmm,LuAl3Ni2,(0001),3
LuAlAu (0001),4.07113303,"Al, Au, Lu",Hexagonal,-6m2,LuAlAu,(0001),3
LuAlCu2 (111),8.901060896967314,"Al, Cu, Lu",Cubic,m-3m,LuAlCu2,(111),3
LuAlNi (0001),3.83606144,"Al, Lu, Ni",Hexagonal,-6m2,LuAlNi,(0001),3
LuAlPd (0001),3.70043667,"Al, Lu, Pd",Hexagonal,-6m2,LuAlPd,(0001),3
LuAs (111),8.027615694024943,"As, Lu",Cubic,m-3m,LuAs,(111),2
LuAu (111),4.945007618414455,"Au, Lu",Cubic,m-3m,LuAu,(111),2
LuB12 (111),10.525641894581787,"B, Lu",Cubic,m-3m,LuB12,(111),2
LuB2 (0001),3.7026193,"B, Lu",Hexagonal,6/mmm,LuB2,(0001),2
LuB2Ir3 (0001),3.1340747936975184,"B, Ir, Lu",Hexagonal,6/mmm,LuB2Ir3,(0001),3
LuB2Ru3 (0001),3.01059029,"B, Lu, Ru",Hexagonal,6/mmm,LuB2Ru3,(0001),3
LuBPt2 (0001),7.927838530089052,"B, Lu, Pt",Hexagonal,622,LuBPt2,(0001),3
LuBRh3 (111),5.851349404951867,"B, Lu, Rh",Cubic,m-3m,LuBRh3,(111),3
LuBe13 (111),14.309616241259418,"Be, Lu",Cubic,m-3m,LuBe13,(111),2
LuBi (111),8.773687573829793,"Bi, Lu",Cubic,m-3m,LuBi,(111),2
LuBiPd (111),9.331647009419932,"Bi, Lu, Pd",Cubic,-43m,LuBiPd,(111),3
LuBiPt (111),9.35081916327377,"Bi, Lu, Pt",Cubic,-43m,LuBiPt,(111),3
LuBr3 (0001),3.6325645,"Br, Lu",Hexagonal,6/mmm,LuBr3,(0001),2
LuCd (111),5.149137509175493,"Cd, Lu",Cubic,m-3m,LuCd,(111),2
LuCd2 (0001),3.3840844325563078,"Cd, Lu",Hexagonal,6/mmm,LuCd2,(0001),2
LuCdHg2 (111),9.976829508213765,"Cd, Hg, Lu",Cubic,m-3m,LuCdHg2,(111),3
LuCdNi4 (111),9.844648906235712,"Cd, Lu, Ni",Cubic,-43m,LuCdNi4,(111),3
LuCdPd2 (111),9.387049023715798,"Cd, Lu, Pd",Cubic,m-3m,LuCdPd2,(111),3
LuCdRh2 (111),9.201070861012663,"Cd, Lu, Rh",Cubic,m-3m,LuCdRh2,(111),3
LuCl3 (0001),3.472569590000249,"Cl, Lu",Hexagonal,6/mmm,LuCl3,(0001),2
LuCo2 (111),9.968545327698738,"Co, Lu",Cubic,m-3m,LuCo2,(111),2
LuCo3B2 (0001),2.96773699,"B, Co, Lu",Hexagonal,6/mmm,LuCo3B2,(0001),3
LuCo5Si3 (0001),3.64042661,"Co, Lu, Si",Hexagonal,6/m,LuCo5Si3,(0001),3
LuCu5 (111),9.745036866211711,"Cu, Lu",Cubic,-43m,LuCu5,(111),2
LuCuGe (0001),3.68717894,"Cu, Ge, Lu",Hexagonal,-6m2,LuCuGe,(0001),3
LuCuPb (0001),7.22740498,"Cu, Lu, Pb",Hexagonal,6mm,LuCuPb,(0001),3
LuCuSi (0001),7.27673599,"Cu, Lu, Si",Hexagonal,6/mmm,LuCuSi,(0001),3
LuCuSn (0001),7.11460011000131,"Cu, Lu, Sn",Hexagonal,6mm,LuCuSn,(0001),3
LuFe2 (111),10.187589936673943,"Fe, Lu",Cubic,m-3m,LuFe2,(111),2
LuFe4B (0001),7.007891,"B, Fe, Lu",Hexagonal,6/mmm,LuFe4B,(0001),3
LuGa2Ni3 (0001),4.00883303,"Ga, Lu, Ni",Hexagonal,-6m2,LuGa2Ni3,(0001),3
LuGa3 (111),5.907902513662778,"Ga, Lu",Cubic,m-3m,LuGa3,(111),2
LuGaNi2 (0001),15.612193760012024,"Ga, Lu, Ni",Hexagonal,6/mmm,LuGaNi2,(0001),3
LuGaO3 (0001),11.574137250001703,"Ga, Lu, O",Hexagonal,6mm,LuGaO3,(0001),3
LuGaRh2 (111),8.928480301207163,"Ga, Lu, Rh",Cubic,m-3m,LuGaRh2,(111),3
LuGeAu (0001),7.13297831,"Au, Ge, Lu",Hexagonal,6mm,LuGeAu,(0001),3
LuH2 (111),7.055786480606485,"H, Lu",Cubic,m-3m,LuH2,(111),2
LuHSe (0001),3.82337706,"H, Lu, Se",Hexagonal,-6m2,LuHSe,(0001),3
